预测结果,误差
621.65,0
609.67,0
610.92,0
612.2,3.38
609.0,1.38
610.0,0.89
609.3,2.26
607.6,3.98
609.4,0.79
609.7,1.04
609.3,10.42
605.1,7.68
601.7,7.62
598.2,5.68
598.7,3.04
598.5,0.48
597.6,8.36
598.7,6.97
599.6,4.25
599.9,9.49
601.3,13.52
603.5,9.48
605.1,6.75
606.2,3.42
606.8,0.38
606.8,5.28
607.7,9.51
609.2,5.54
610.2,5.45
611.1,6.44
612.3,2.47
612.9,22.11
616.0,19.96
619.0,15.02
621.4,16.54
624.0,17.42
626.8,12.17
629.0,7.29
630.7,1.45
631.4,3.68
631.9,0.02
632.8,22.68
636.0,17.25
638.6,12.79
640.9,14.41
643.4,8.05
645.2,37.02
649.8,37.88
654.5,31.41
658.6,39.4
663.6,38.4
668.5,28.51
672.6,60.73
679.5,6.67
682.0,1.69
684.2,20.59
687.8,24.2
691.8,18.16
695.3,13.67
698.5,22.43
702.4,19.1
706.1,9.35
709.1,5.39
711.0,8.72
712.8,6.34
714.6,3.69
716.7,4.97
718.7,18.26
722.2,25.32
726.3,22.68
730.2,1.14
732.6,5.93
735.4,1.57
738.0,3.63
740.7,3.25
743.0,7.36
745.1,11.43
746.9,18.94
748.3,20.99
749.6,16.89
751.1,8.41
753.0,10.95
754.9,17.53
758.3,6.03
761.1,1.87
763.7,9.07
765.7,9.08
767.7,8.71
769.7,0.02
772.2,2.18
774.6,5.52
776.8,0.2
779.3,2.3
781.7,3.71
784.1,9.21
786.2,9.45
788.2,12.32
790.1,1.4
792.6,4.2
794.9,6.23
797.2,4.11
799.5,24.71
803.2,31.77
807.2,94.11
814.1,77.51
820.3,72.3
826.3,71.03
832.4,97.97
839.7,90.64
846.7,116.68
855.0,97.15
862.5,95.62
870.0,127.72
879.0,136.97
888.5,124.92
897.6,229.16
911.4,83.27
919.0,80.65
926.5,29.67
929.3,21.16
932.5,22.01
935.6,29.55
938.5,153.28
936.1,155.18
933.7,107.41
933.2,115.29
932.3,112.75
931.6,101.1
931.2,27.36
933.8,27.2
936.4,40.6
938.5,44.88
940.4,44.76
942.3,23.7
945.0,22.93
947.7,27.73
950.3,57.25
951.8,35.84
954.1,39.05
956.2,35.89
958.5,42.57
960.5,48.31
962.3,2.41
965.9,13.8
970.0,13.42
974.0,39.03
979.0,52.0
984.4,49.67
989.8,34.21
994.7,55.41
1000.3,52.54
1005.9,29.8
1008.7,9.6
1012.2,14.61
1015.5,14.9
1018.9,19.02
1022.1,20.9
1025.2,12.87
1028.7,6.51
1032.7,2.5
1036.7,19.94
1041.2,11.58
1045.5,5.37
1049.6,74.19
1056.0,67.22
1062.1,67.91
1068.4,106.47
1075.8,74.81
1082.4,67.97
1088.7,102.05
1096.2,91.37
1103.4,87.49
1110.5,148.91
1119.6,165.54
1129.3,157.7
1138.8,132.13
1147.6,127.6
1156.3,123.2
1165.0,7.61
1169.7,22.77
1175.3,16.79
1180.7,1.54
1185.7,41.79
1191.9,35.78
1198.0,47.37
1204.5,52.9
1211.2,45.8
1217.8,126.63
1219.2,266.97
1216.4,248.71
1214.2,165.12
1214.4,95.77
1216.5,103.5
1218.5,179.71
1218.3,276.38
1215.3,287.37
1212.0,255.21
1209.6,172.37
1209.4,168.36
1209.4,168.82
1209.3,171.4
1209.2,174.46
1208.9,121.97
1210.1,110.93
1211.6,131.61
1212.5,70.9
1215.0,81.92
1217.2,83.67
1219.4,28.95
1223.0,41.85
1226.3,42.27
1229.5,21.76
1233.4,6.78
1237.6,18.51
1241.5,61.48
1244.3,59.04
1247.2,76.84
1249.7,62.77
1252.5,46.87
1255.7,78.73
1258.2,40.27
1261.6,19.91
1265.5,28.87
1269.2,7.89
1273.4,15.41
1277.4,36.56
1281.0,1.59
1285.4,23.71
1290.4,2.38
1294.8,36.49
1300.2,34.78
1305.6,27.4
1310.8,106.37
1317.9,134.18
1325.7,121.85
1333.3,174.99
1342.2,191.14
1351.5,167.25
1360.3,175.57
1369.4,271.22
1380.8,270.3
1392.3,370.59
1406.2,414.79
1421.3,407.7
1436.4,335.52
1449.9,326.42
1463.2,316.8
1476.4,262.63
1488.5,318.99
1501.9,282.08
1514.6,446.92
1531.2,521.71
1549.8,459.04
1567.0,523.66
1585.8,701.91
1609.0,647.32
1631.0,756.21
1655.8,556.18
1676.0,603.82
1697.4,495.58
1716.5,559.43
1737.1,552.92
1757.7,528.23
1777.7,621.54
1800.0,609.93
1822.0,703.77
1846.2,669.97
1869.6,659.93
1892.9,990.41
1923.1,741.82
1948.1,734.93
1972.8,854.69
1999.8,845.57
2026.5,872.13
2053.5,604.18
2075.3,672.89
2098.2,607.8
2119.8,322.68
2136.4,328.56
2153.2,324.74
2169.9,337.49
2186.8,430.41
2205.3,394.7
2223.3,447.74
2242.1,485.19
2261.4,452.08
2280.2,308.96
2296.9,215.47
2312.3,189.73
2327.4,190.5
2342.6,242.75
2358.6,199.7
2374.1,103.54
2388.3,112.89
2402.8,18.46
2416.0,145.23
2431.0,168.73
2446.4,152.49
2461.7,148.27
2477.0,14.2
2490.6,12.26
2504.2,32.04
2518.2,152.03
2529.8,202.71
2540.7,154.95
2552.3,197.52
2563.2,224.71
2573.9,514.9
2580.3,649.09
2584.6,673.64
2588.2,268.08
2597.8,333.03
2606.3,341.09
2614.8,67.4
2629.6,178.01
2646.3,179.21
2663.0,88.82
2678.4,117.4
2690.8,126.5
2703.1,55.47
2716.5,65.14
2731.9,52.9
2747.1,1.14
2761.6,104.83
2777.8,85.1
2793.8,100.17
2807.1,12.98
2821.7,31.7
2836.2,381.92
2856.9,395.66
2877.7,332.5
2897.8,559.57
2921.0,436.33
2942.5,397.78
2963.6,668.91
2988.2,864.6
3015.1,853.42
3041.6,1241.39
3072.1,1144.93
3100.9,1079.07
3128.5,1200.23
3156.5,973.94
3182.1,922.61
3207.0,950.96
3231.7,812.02
3255.3,730.98
3278.3,896.65
3302.0,1038.32
3325.9,1005.87
3349.3,1011.21
3372.3,982.01
3395.1,943.95
3417.5,1190.49
3439.6,1155.39
3461.2,1121.32
3482.4,1429.34
3502.1,1078.29
3522.9,1062.67
3543.5,800.6
3565.9,922.82
3587.5,797.52
3610.1,1044.56
3630.9,679.85
3655.1,657.16
3679.6,650.36
3704.4,543.69
3730.4,468.19
3757.3,203.97
3786.8,467.17
3821.5,605.07
3855.6,91.97
3885.3,139.24
3914.8,236.27
3944.5,1.09
3972.7,4.86
4000.8,106.32
4029.1,391.6
4058.0,281.61
4086.2,308.58
4114.0,171.45
4141.4,231.09
4168.6,287.6
4195.7,6.29
4222.7,29.13
4249.7,85.43
4276.7,84.02
4303.9,82.98
4331.2,62.87
4358.6,133.43
4385.9,47.05
4413.4,94.82
4440.8,64.61
4468.4,133.88
4496.4,109.26
4524.4,257.88
4552.8,266.69
4581.4,240.77
4610.2,953.61
4639.5,1099.94
4668.6,1157.39
4697.2,1014.01
4725.8,877.91
4754.7,839.96
4783.7,943.93
4812.3,1167.16
4839.8,1146.64
4867.3,1115.88
4894.7,981.38
4923.1,977.49
4951.6,718.02
4982.3,910.84
5011.7,878.12
5041.5,735.2
5072.9,1082.53
5101.0,1035.49
5129.8,1258.85
5156.3,1509.01
5179.5,1572.48
5201.7,1996.02
5217.2,2220.34
5227.8,2138.19
5238.9,1750.17
5257.4,1834.73
5274.1,1854.54
5290.5,1867.54
5306.9,1412.5
5335.3,1233.92
5369.0,347.3
5425.7,1124.53
5462.2,1031.43
5501.5,1799.93
5521.3,2293.73
5527.9,2340.87
5533.4,2283.74
5541.1,2466.55
5543.4,2506.32
5545.0,2514.8
5547.2,2720.84
5542.6,2694.12
5540.4,2710.58
5539.0,3168.41
5519.0,3249.8
5496.9,4221.4
5427.5,4525.01
5342.0,4577.0
5254.8,4892.57
5150.2,5733.71
4990.2,5889.68
4821.9,6510.72
4608.0,6976.83
4359.8,7231.42
4098.5,9442.48
3608.3,12893.67
2677.5,14183.38
1537.3,13605.53
552.7,14317.1
-464.4,15533.35
-1602.5,18878.89
-3403.1,20211.47
-5257.2,21509.51
-7080.9,24852.8
-9604.3,29102.98
-13118.6,32398.5
-16915.7,35877.56
-20889.2,38626.31
-24373.9,41756.84
-27758.7,43806.21
-30236.7,45427.64
-32023.9,45800.51
-32624.7,46573.88
-33256.5,47375.53
-33916.0,47656.94
-34169.3,49758.62
-35794.3,50174.88
-36320.8,50534.81
-36597.8,49813.37
-35958.5,50124.08
-36002.3,49798.3
-35650.6,50656.46
-36166.5,51219.76
-36604.8,51644.04
-36916.2,54090.32
-38849.5,56168.7
-40793.2,57949.15
-42473.9,57739.81
-42361.4,57075.65
-41660.3,56097.72
-40639.8,53936.59
-38627.1,52539.98
-37112.4,50903.59
-35482.8,49335.72
-33889.0,47901.2
-32399.4,45953.54
-30580.3,41697.25
-27198.7,38544.12
-24181.0,35355.82
-21257.1,34207.89
-19457.9,30963.13
-16980.6,28494.02
-14652.9,25875.96
-12333.8,23616.06
-10185.0,21577.03
-8210.2,19180.02
-6201.3,17726.08
-4509.7,15941.07
-2883.0,14095.66
-1285.1,11469.16
495.0,9587.52
2162.7,6920.56
3926.0,4975.9
5562.2,3290.53
7052.0,1348.65
8474.8,1635.98
9980.4,3054.94
11287.7,3187.74
12304.1,4063.56
13200.2,4955.12
14004.3,5684.42
14720.5,6377.04
15362.6,7294.58
15956.5,7358.73
16459.6,7124.97
16880.1,7408.46
17260.6,7133.44
17587.0,6745.01
17868.8,6782.97
18129.4,7018.44
18377.8,6987.41
18608.5,7362.52
18833.7,8902.63
19074.3,8912.18
19293.9,9122.6
19498.6,9802.01
19693.9,9345.3
19868.9,9549.44
20032.8,9662.63
20185.9,9176.52
20328.6,9397.48
20464.5,9137.55
20594.5,9164.32
20719.6,9202.77
20840.5,10077.3
20952.6,10834.54
21053.4,11132.94
21144.2,12054.92
21217.5,12471.5
21275.9,12498.53
21323.7,12140.86
21368.1,12213.4
21404.1,12250.56
21432.6,13074.48
21439.0,12908.6
21440.8,13142.91
21430.6,13259.18
21410.7,12998.67
21390.2,12784.56
21369.0,12421.25
21351.8,12661.39
21324.4,12599.03
21294.1,12631.72
21258.8,12641.5
21219.2,12761.24
21172.5,13296.3
21106.7,13146.32
21040.5,13089.89
20971.6,14089.07
20869.4,13933.92
20766.5,13828.94
20661.6,13625.75
20558.2,13147.76
20464.8,13038.32
20371.1,13544.59
20258.3,13654.42
20138.2,13503.52
20018.7,13001.04
19910.9,13211.63
19793.4,13008.99
19678.7,12752.43
19568.8,11720.95
19487.7,11546.24
19409.8,11373.29
19335.1,10994.35
19270.1,10902.0
19206.1,11310.68
19128.2,10963.26
19058.8,10882.84
18990.3,10137.58
18942.6,10135.39
18893.7,9963.1
18848.7,9914.84
18804.0,9248.46
18777.9,9119.79
18754.9,9496.5
18720.0,9709.68
18678.0,9749.45
18633.7,9299.42
18601.5,9341.93
18567.2,9327.65
18532.5,9311.07
18497.3,8858.03
18474.3,8720.95
18454.5,8651.19
18436.1,8805.96
18412.7,8781.26
18389.3,9160.69
18354.7,9032.66
18322.8,9012.43
18290.7,9821.91
18235.4,9751.05
18181.1,9717.58
18126.6,9474.56
18077.8,9566.34
18025.6,9554.54
17972.8,9866.68
17910.7,9670.64
17852.7,9613.62
17795.4,9287.99
17745.7,9360.14
17693.3,9296.67
17641.6,10085.86
17568.6,10002.41
17496.7,9919.92
17426.0,10083.09
17350.1,9988.27
17275.6,9931.04
17201.6,9741.72
17131.5,9746.1
17060.4,9673.68
16990.2,9455.05
16924.5,9279.35
16862.3,9225.16
16800.7,9300.43
16736.6,9120.88
16676.0,9056.57
16616.2,8939.93
16558.5,8938.35
16500.2,8884.66
16442.5,9665.61
16365.8,9490.12
16292.6,9413.29
16220.3,9904.6
16136.2,9489.19
16060.8,9423.39
15986.3,9476.87
15909.9,9445.49
15833.5,9387.71
15757.9,9020.9
15689.7,8974.98
15621.9,8861.07
15556.1,9223.53
15481.9,9340.29
15404.8,9234.34
15329.3,9117.85
15255.8,9037.2
15183.5,9086.04
15109.8,9001.9
15037.3,9128.6
14961.7,8738.42
14893.7,8518.95
14829.6,8363.53
14768.3,8141.86
14711.0,8117.71
14653.8,8050.42
14597.5,8041.99
14541.0,7946.72
14486.1,7732.54
14434.9,7710.86
14383.8,7873.01
14329.4,7952.04
14273.1,7869.92
14218.0,7973.64
14160.8,7919.8
14104.2,7855.36
14048.5,7534.11
13998.4,7128.49
13955.4,6633.78
13921.1,6524.7
13888.5,6460.46
13856.7,6521.71
13823.7,6372.41
13793.1,6103.22
13767.0,6051.9
13741.6,5490.44
13725.8,5538.48
13708.9,5769.09
13687.9,5505.65
13671.3,5464.96
13655.2,5434.29
13639.4,5722.6
13618.7,6047.83
13592.2,5984.5
13566.6,6172.1
13537.7,6289.93
13506.7,6495.42
13472.1,6484.02
13437.5,6443.99
13403.3,6685.07
13365.1,6968.33
13322.1,6925.61
13279.6,7140.64
13233.5,6922.37
13190.7,6843.63
13149.0,6896.87
13106.3,6743.62
13065.8,6723.17
13025.5,6712.75
12985.2,6548.48
12947.3,6543.24
12909.3,6422.72
12873.0,6471.75
12835.8,6260.57
12801.7,6447.13
12764.6,6220.95
12730.8,6011.37
12699.9,5961.63
12669.7,5950.43
12639.5,5639.46
12613.7,5535.51
12589.2,5656.54
12562.9,5580.95
12537.6,5518.82
12513.1,5265.16
12492.0,5231.05
12471.4,5206.32
12451.0,5337.93
12428.6,5995.33
12396.9,5895.71
12366.6,6000.49
12334.6,6048.17
12302.0,6061.02
12269.0,5972.68
12237.2,5964.06
12205.4,5879.36
12174.7,5675.64
12146.5,5627.84
12119.0,5596.61
12091.8,5691.2
12063.2,5766.57
12033.6,5691.21
12004.8,5586.24
11977.4,5307.41
11953.5,5197.38
11930.9,5220.46
11907.9,5268.6
11884.3,5300.85
11860.2,5391.57
11834.8,5299.32
11810.6,5124.52
11788.5,5238.03
11764.8,5171.66
11742.0,5130.98
11719.5,5156.86
11696.7,5226.3
11673.0,5189.27
11649.7,5081.15
11627.6,5046.11
11605.8,5032.18
11584.2,4965.63
11563.3,4941.59
11542.7,4915.85
11522.3,5273.66
11497.6,5237.07
11473.2,5226.2
11449.0,5149.6
11425.6,4973.03
11404.1,4804.93
11384.6,4788.32
11365.3,4797.26
11345.7,4836.09
11325.7,4836.87
11305.6,4774.0
11286.2,4781.42
11266.6,4785.17
11247.0,4738.69
11227.8,4738.03
11208.6,4734.85
11189.4,4723.48
11170.2,4712.99
11151.2,4768.53
11131.4,4821.95
11111.1,4809.49
11090.8,4748.52
11071.2,4683.53
11052.2,4661.78
11033.4,4641.53
11014.8,4577.83
10996.9,4559.14
10979.1,4440.31
10962.5,4476.25
10945.5,4500.53
10928.2,4529.17
10910.6,4532.33
10892.9,4484.37
10875.6,4503.54
10858.1,4681.95
10838.8,5082.03
10815.3,5219.11
10790.4,5232.16
10765.3,5192.86
10740.6,5436.66
10713.4,6041.43
10680.1,6188.12
10645.4,6096.6
10611.6,6302.26
10575.8,6222.82
10540.8,6717.29
10501.0,6580.46
10462.5,6669.15
10423.3,6319.85
10387.4,6123.62
10353.5,6074.73
10320.0,6203.22
10285.4,6117.85
10251.6,6111.0
10217.9,6256.41
10182.9,6324.55
10147.3,6402.32
10111.0,6705.36
10072.0,6636.66
10033.7,6580.04
9996.0,6472.04
9959.3,6533.11
9922.1,6514.82
9885.2,6478.44
9848.6,6570.23
9811.3,6568.88
9774.1,6502.86
9737.5,6345.09
9702.4,6145.86
9669.0,5860.96
9638.1,5655.25
9609.0,5473.81
9581.5,5670.53
9552.3,5524.82
9524.4,5529.23
9496.5,5682.62
9467.4,5642.02
9438.6,5590.39
9410.3,5666.39
9381.4,5469.11
9354.1,5583.74
9326.0,5534.45
9298.3,5546.03
9270.5,5414.62
9243.8,5378.0
9217.5,5394.87
9191.0,5334.38
9165.1,5244.64
9139.9,5103.81
9115.8,5083.55
9091.9,5057.76
9068.3,5255.71
9043.1,5396.85
9016.9,5370.55
8990.9,5391.06
8964.8,5432.84
8938.5,5281.72
8913.3,5292.03
8888.1,5266.67
8863.1,5230.7
8838.4,5147.88
8814.3,5110.32
8790.6,5242.17
8765.9,5225.88
8741.4,5154.05
8717.5,5151.1
8693.6,5107.35
8670.0,5092.21
8646.6,5070.3
8623.4,5068.9
8600.2,5151.62
8576.5,5154.9
8552.8,5082.8
8529.7,5084.89
8506.5,5031.17
8483.8,4977.58
8461.5,5005.48
8439.0,4986.65
8416.7,4949.36
8394.6,4988.9
8372.4,4977.64
8350.2,4689.12
8330.0,4665.62
8310.0,4623.71
8290.3,4660.83
8270.4,4637.98
8250.7,4636.2
8231.0,4630.69
8211.4,4603.2
8191.9,4572.35
8172.7,4501.96
8154.0,4243.2
8137.0,4210.47
8120.2,4133.02
8103.9,4159.02
8087.4,4103.92
8071.3,3931.7
8056.3,4289.41
8039.1,4190.77
8022.5,4191.05
8006.0,4172.77
7989.5,4139.42
7973.3,4138.68
7957.1,4125.66
7941.0,4126.42
7925.0,4194.02
7908.5,4036.25
7893.0,4016.15
7877.6,3990.78
7862.5,3986.54
7847.3,3896.74
7832.7,3904.53
7818.1,3937.01
7803.3,3910.79
7788.6,3910.83
7774.0,3888.79
7759.5,3823.0
7745.5,3729.55
7731.9,3736.98
7718.4,3719.63
7705.0,3675.89
7691.8,3635.4
7678.8,3686.46
7665.6,3666.54
7652.5,3640.58
7639.6,3645.49
7626.7,3690.81
7613.5,3665.76
7600.4,3551.89
7588.0,3550.63
7575.7,3460.15
7563.8,3449.36
7552.0,3437.84
7540.3,3387.77
7528.9,2646.02
7521.6,2561.79
7514.7,2603.46
7507.7,2478.93
7501.3,2447.78
7495.0,2305.61
7489.6,2220.89
7484.6,2308.79
7479.1,2168.92
7474.4,2439.38
7468.2,2395.35
7462.3,2397.68
7456.3,2303.79
